May 24, 2025   14:05:04
A.C. Impedance
File: c:\python\win\device_jules\experiment_results\c60_from_easy_eis.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CHI760E EIS
Note: 

Init E (V) = -1
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 10
Imp SF
Amplitude (V) = 0.01
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
8.252e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
6.812e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
5.625e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
4.644e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.833e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.164e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.612e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.153e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.777e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.470e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.211e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.001e+4, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
8.252e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
6.812e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
5.625e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
4.643e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.833e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.164e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.612e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.153e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.777e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.470e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.211e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.001e+3, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
8.252e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
6.836e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
5.615e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
4.639e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.809e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
3.174e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.588e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
2.148e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.758e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.465e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
1.221e+2, 1.000e+0, 0.000e+0, 1.000e+0, 0.0
9.766e+1, 7.429e-1, 0.000e+0, 7.429e-1, 0.0
8.254e+1, 3.257e-1, 0.000e+0, 3.257e-1, 0.0
6.813e+1, 6.220e-2, 0.000e+0, 6.220e-2, 0.0
5.623e+1, -5.564e-2, 0.000e+0, 5.564e-2, 180.0
4.642e+1, -5.742e-2, 0.000e+0, 5.742e-2, 180.0
3.831e+1, -2.991e-2, 0.000e+0, 2.991e-2, 180.0
3.162e+1, -3.278e-3, 0.000e+0, 3.278e-3, 180.0
2.610e+1, 6.460e-3, 0.000e+0, 6.460e-3, 0.0
2.154e+1, 6.948e-3, 0.000e+0, 6.948e-3, 0.0
1.778e+1, 3.237e-3, 0.000e+0, 3.237e-3, 0.0
1.468e+1, 5.243e-4, 0.000e+0, 5.243e-4, 0.0
1.212e+1, -7.435e-4, 0.000e+0, 7.435e-4, 180.0
1.000e+1, -2.480e-4, 0.000e+0, 2.480e-4, 180.0
